Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
AEM HOLDINGS,T:AEME,AEM.SI,T:AEME,AEM HOLDINGS,AEM HOLDINGS LIMITED,Technology
AF GLOBAL,T:LCDV,AFGL.SI,T:LCDV,AF GLOBAL,AF GLOBAL LTD,Consumer Discretionary
AIMS APAC REIT,T:MCCI,AIMA.SI,T:MCCI,AIMS APAC REIT,AIMS APAC REIT,Real Estate
AMARA HOLDINGS,T:AMAH,AMRA.SI,T:AMAH,AMARA HOLDINGS,AMARA HOLDINGS LIMITED,Consumer Discretionary
AMCORP GLOBAL,T:TEEL,AMCO.SI,T:TEEL,AMCORP GLOBAL,AMCORP GLOBAL LTD,Real Estate
AMOS GROUP,T:GLIN,AMOS.SI,T:GLIN,AMOS GROUP,AMOS GROUP LTD,Energy
ANAN INTERNATIONAL,T:SUNE,ANAN.SI,T:SUNE,ANAN INTERNATIONAL,ANAN INTERNATIONAL LTD,Consumer Staples
ANCHUN INTL.HOLDINGS,T:AIH,ANIH.SI,T:AIH,ANCHUN INTL.HOLDINGS,ANCHUN INTERNATIONAL HOLDINGS LTD,Basic Materials
AP OIL INTL.,T:APOI,AOIL.SI,T:APOI,AP OIL INTL.,AP OIL INTERNATIONAL LIMITED,Basic Materials
APAC REALTY,T:APAX,APAC.SI,T:APAX,APAC REALTY,APAC REALTY LTD,Real Estate
ARA LOGOS LOGISTICS REIT UNITS,T:CLT,ARAL.SI,T:CLT,ARA LOGOS LOGISTICS REIT UNITS,ARA LOGOS LOGISTICS TRUST,Real Estate
ARA US HOSPITALITY UNITS,T:AUHU,ARAU.SI,T:AUHU,ARA US HOSPITALITY UNITS,ARA US HOSPITALITY TRUST,Real Estate
ASCENDAS INDIA TRUST,T:ASIT,AINT.SI,T:ASIT,ASCENDAS INDIA TRUST,ASCENDAS INDIA TRUST,Real Estate
ASIA ENTS.HOLDING,T:AEHL,AEHL.SI,T:AEHL,ASIA ENTS.HOLDING,ASIA ENTERPRISES HOLDING LTD,Basic Materials
ASIAN PAY TV.TRUST UNT.,T:ASPT,ASIA.SI,T:ASPT,ASIAN PAY TV.TRUST UNT.,ASIAN PAY TELEVISION TRUST,Telecommunications
ASL MARINE HOLDINGS,T:ASLM,ASLM.SI,T:ASLM,ASL MARINE HOLDINGS,ASL MARINE HOLDINGS LTD,Industrials
ASPEN (GROUP) HOLDINGS,T:ASPE,ASPE.SI,T:ASPE,ASPEN (GROUP) HOLDINGS,ASPEN (GROUP) HOLDINGS LTD,Real Estate
ASPIAL CORPORATION,T:LEHH,ASPA.SI,T:LEHH,ASPIAL CORPORATION,ASPIAL CORPORATION LTD,Consumer Discretionary
ASTI HOLDINGS,T:ASTI,ATIH.SI,T:ASTI,ASTI HOLDINGS,ASTI HOLDINGS LTD,Technology
AUSGROUP,T:AUGL,AUSG.SI,T:AUGL,AUSGROUP,AUSGROUP LTD,Industrials
AVARGA,T:PULP,AVAR.SI,T:PULP,AVARGA,AVARGA LTD,Basic Materials
AVI-TECH ELECTRONICS,T:ATEL,AVTH.SI,T:ATEL,AVI-TECH ELECTRONICS,AVI TECH ELECTRONICS LTD,Technology
